,tunnelSteppingTest20::Probabilities::PostRegion,tunnelSteppingTest20::Probabilities::IntraRegion,tunnelSteppingTest20::Probabilities::PreRegion,tunnelSteppingTest20::FrameCount,tunnelSteppingTest20::SpaceStep,tunnelSteppingTest20::TimeStep,tunnelSteppingTest20::PointCount,tunnelSteppingTest20::RegionLength::PostRegion,tunnelSteppingTest20::RegionLength::IntraRegion,tunnelSteppingTest20::RegionLength::PreRegion,tunnelSteppingTest21::Probabilities::PostRegion,tunnelSteppingTest21::Probabilities::IntraRegion,tunnelSteppingTest21::Probabilities::PreRegion,tunnelSteppingTest21::FrameCount,tunnelSteppingTest21::SpaceStep,tunnelSteppingTest21::TimeStep,tunnelSteppingTest21::PointCount,tunnelSteppingTest21::RegionLength::PostRegion,tunnelSteppingTest21::RegionLength::IntraRegion,tunnelSteppingTest21::RegionLength::PreRegion,tunnelSteppingTest22::Probabilities::PostRegion,tunnelSteppingTest22::Probabilities::IntraRegion,tunnelSteppingTest22::Probabilities::PreRegion,tunnelSteppingTest22::FrameCount,tunnelSteppingTest22::SpaceStep,tunnelSteppingTest22::TimeStep,tunnelSteppingTest22::PointCount,tunnelSteppingTest22::RegionLength::PostRegion,tunnelSteppingTest22::RegionLength::IntraRegion,tunnelSteppingTest22::RegionLength::PreRegion
90,0.02052078495107682,0.928794603603085,0.05068461144583819,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4,0.01842709783784893,0.8197940918205694,0.16177881034158162,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4,0.015292671211967774,0.6012584649454236,0.38344886384260846,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4
91,0.0235906712351054,0.9291018798305473,0.04730744893434738,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4,0.02089864299108071,0.8108381759396481,0.16826318106927107,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4,0.017441680335514093,0.5981884766291952,0.3843698430352907,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4
92,0.02701929257983942,0.9288098198141698,0.04417088760599067,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4,0.023617636675702776,0.8017058620308497,0.1746765012934478,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4,0.01982890339029055,0.5947080809769392,0.3854630156327701,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4
93,0.03083239264149619,0.9279052029282749,0.0412624044302289,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4,0.026606749892509555,0.7923494087291426,0.18104384137834806,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4,0.022454387860151127,0.5909299845658463,0.38661562757400253,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4
94,0.035055443496253405,0.9263728098219782,0.03857174668176844,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4,0.029883955031100345,0.7827550569132532,0.18736098805564622,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4,0.02530714568142511,0.5868596520453474,0.3878332022732275,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4
95,0.03971360188203201,0.9241958532030421,0.036090544914925686,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4,0.0334655408516019,0.7729136870029664,0.19362077214543172,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4,0.028413192964531084,0.5820705964206387,0.38951621061483,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4
96,0.044831774596981115,0.9213565096585044,0.03381171574451467,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4,0.03736675047976362,0.7628165360101883,0.19981671351004823,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4,0.03179218543599653,0.5766390709227583,0.3915687436412449,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4
97,0.05043464894295276,0.9178364675747506,0.031728883482296674,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4,0.041601804473862164,0.7524553999576529,0.2059427955684849,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4,0.03545784990022412,0.5706734144333733,0.3938687356664025,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4
98,0.056546369760092405,0.913617944194897,0.029835686045010936,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4,0.04618379163165856,0.7418231589212131,0.21199304944712835,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4,0.039419036172826584,0.5642196235504834,0.3963613402766899,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4
99,0.06318935804374602,0.9086858735216662,0.028124768434587822,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4,0.05112454052393795,0.7309133798827798,0.2179620795932822,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4,0.0436833504080342,0.5573254800153664,0.39899116957659936,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4
