,momentum_space00::Probabilities::Post,momentum_space00::Probabilities::3rdStair,momentum_space00::Probabilities::2ndStair,momentum_space00::Probabilities::1stStair,momentum_space00::Probabilities::Pre,momentum_space00::FrameCount,momentum_space00::SpaceStep,momentum_space00::TimeStep,momentum_space00::PointCount,momentum_space00::RegionLength::Post,momentum_space00::RegionLength::3rdStair,momentum_space00::RegionLength::2ndStair,momentum_space00::RegionLength::1stStair,momentum_space00::RegionLength::Pre,packetStartX,packetStartY,initialWaveNumber,standardDeviation
15,8.468710718231602e-29,3.9372107817264737e-19,1.5955853413259623e-10,0.0013729562496908425,0.9986270435907505,650,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,NULL,0.03
16,4.208933702091969e-28,1.4076889095298459e-18,3.756882474256412e-10,0.0019486135199021201,0.9980513861044092,650,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,NULL,0.03
17,1.974407504810118e-27,4.779252673973818e-18,8.508676336961886e-10,0.0027164158396919876,0.9972835833094402,650,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,NULL,0.03
18,8.778066853207302e-27,1.5469415902676363e-17,1.8594262746560952e-09,0.0037230284224545516,0.9962769697181193,650,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,NULL,0.03
19,3.7122726427893336e-26,4.790315129486412e-17,3.9314537429311184e-09,0.005021251672247217,0.994978744396299,650,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,NULL,0.03
20,1.4981929770080016e-25,1.423540994143997e-16,8.061387906299255e-09,0.006669493399849172,0.9933304985387625,650,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,NULL,0.03
21,5.7868612635786955e-25,4.0708194885882365e-16,1.6063843506108552e-08,0.008730865246151728,0.9912691186900043,650,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,NULL,0.03
22,2.144864437115022e-24,1.1229554351974289e-15,3.116504889287531e-08,0.01127188849369471,0.9887280803412554,650,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,NULL,0.03
23,7.646503741738704e-24,2.9947827077159e-15,5.8961928187127266e-08,0.014360819670232707,0.9856391213678359,650,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,NULL,0.03
24,2.627617176698693e-23,7.73657609862531e-15,1.0894115267017537e-07,0.018065634798143052,0.9819342562606966,650,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,NULL,0.03
